Z_eff_max,Z_eff_ave
2.4861903,1.9355524
2.9222305,2.4023504
2.2987173,1.9447458
2.0007484,1.6233389
2.715367,2.016006
2.2467823,1.8302796
2.336621,1.8609526
2.5587823,2.1218448
2.427337,1.8867726
2.8719518,2.0791354
2.7688613,1.9007158
2.7715895,2.2803845
2.2043962,1.7362871
2.6074045,1.9273804
2.109198,1.5581162
2.217453,1.8874457
2.0840588,1.6884229
2.8676646,1.9647398
2.4907699,1.9209623
2.7458656,1.91978
2.8459356,2.1566536
2.078797,1.6040747
2.5158117,1.8674729
2.799847,2.0149808
2.2476592,1.6993043
2.9378207,1.9919469
2.8537307,2.0433373
2.9269075,2.0287147
2.4531584,1.8037257
2.331067,1.9857528
2.490575,2.0425735
2.3285336,1.7095485
2.8265452,2.1248603
2.9231074,2.1491795
2.4379578,1.875838
2.2616904,1.986263
2.2734807,1.6903989
2.7303727,2.233404
2.9377232,2.3695955
2.9126813,2.0680888
2.2155042,1.9456128
2.0069845,1.6072159
2.6390722,1.9921997
2.3990796,1.9853377
2.6676219,1.9825051
2.6851609,2.293883
2.7456708,1.8036481
2.5282838,1.8520198
2.0172155,1.6104444
2.767497,1.8175244
2.9069326,2.40126
2.0889308,1.6705303
2.3932333,1.7485268
2.6816533,2.0946262
2.2712395,1.9592912
2.4765437,1.8369021
2.1177728,1.8667108
2.8843267,2.1030002
2.4922314,2.0449362
2.4625125,1.9321952
2.8135858,2.3302062
2.3613706,1.7115146
2.5268223,1.8676314
2.809688,2.4182415
2.9055684,1.9644337
2.2189147,1.8269145
2.2066374,1.6155654
2.881988,2.2112415
2.0021126,1.4946316
2.2807884,1.7131324
2.201473,1.7106352
2.3433444,1.7212031
2.223202,1.6581135
2.7695432,2.1520214
2.7689586,2.0965874
2.8727314,2.1807806
2.2091708,1.6651515
2.2109246,1.6204872
2.24649,1.6852753
2.6567087,1.9981036
2.7977033,2.0176773
2.2964761,1.8019375
2.7835746,1.9883201
2.0976028,1.6861058
2.0467396,1.5360508
2.8201141,1.9559155
2.3533807,1.8752198
2.243859,1.6912673
2.2126784,1.673174
1.9969482,1.7042582
2.3617604,1.8216956
2.1940677,1.7375848
2.1953344,1.7209129
2.7276444,1.9316075
2.5334482,2.0536773
2.7514195,2.1166716
2.4352295,1.8852696
2.518735,2.1833754
2.4178853,1.9509054
2.0562887,1.7661939
2.4807336,1.7337435
2.9093685,2.156672
2.2595468,1.6526784
1.9909071,1.5456598
2.1569433,1.7867696
2.4157417,1.8047173
2.2299252,1.7642138
2.589768,1.939583
2.489893,1.8040437
2.2805936,1.7841337
2.0361187,1.6227626
2.7552197,1.9702932
2.6894484,1.9888033
2.683407,1.9483334
2.5117192,1.9617522
2.5835319,1.9983907
2.771492,1.9293967
2.5486488,1.9688188
2.4659228,1.8584635
2.1883187,1.8123282
2.2144325,1.8108128
2.611692,1.8197198
2.4910622,1.8092365
2.7360241,2.3291843
2.3598115,1.7730863
2.119819,1.632546
2.329021,1.8827722
2.0264723,1.7356415
2.7326138,2.1593065
2.2076118,1.6299088
2.82255,2.411981
1.9915891,1.6374104
2.2386947,1.8732882
2.5938604,2.0877368
2.3277543,1.7383368
2.7964365,2.352849
2.7346601,1.8364322
2.4744,1.952663
2.190365,1.8642944
2.6357594,1.9044144
2.027739,1.6195569
2.944544,2.186008
2.3676069,1.8086133
2.7154646,2.0614853
2.3516266,1.8697016
2.568234,2.074119
2.1235218,1.6965996
2.8584077,2.3318157
2.1421325,1.6760087
2.1265423,1.8084532
2.89485,2.0885344
2.3555243,1.9441011
2.1572356,1.8560486
2.8424277,1.9163107
2.657196,2.1367831
2.0513194,1.7931628
2.6402416,2.0357125
2.0521963,1.7167642
2.825181,2.1419845
2.1452506,1.572838
2.8188474,2.1050522
2.077238,1.8062348
2.0488832,1.7482085
2.3535755,1.6572411
2.5031447,2.04241
2.3890433,2.0829098
2.78299,2.087739
2.3436368,1.7172927
2.144666,1.6994061
2.2003038,1.6438671
2.7256956,1.9092135
2.2727985,1.6666794
2.8929012,1.9752005
2.2839065,1.6798184
2.2166736,1.7830818
2.6640167,1.99434
2.284004,1.7630403
2.6966588,2.117977
2.2444437,1.7451994
2.5971735,2.1254468
2.449066,2.0611567
2.8782854,2.3152306
2.404049,1.9061437
2.9176507,2.1553755
2.6200716,1.8928468
2.1643486,1.7348739
2.400249,1.9145191
2.0851307,1.776979
2.2137504,1.580915
2.3114817,2.0117104
2.7088387,1.8229258
2.1904624,1.890797
2.036411,1.667445
2.4108698,1.8878024
2.602435,2.07281
2.5918143,1.8056209
2.359909,1.7592481
2.603312,2.061597
2.3301902,1.8877962
2.455302,1.7534218
2.7943902,2.195044
1.9960713,1.6730614
2.2331407,1.8583755
2.3648784,1.9387059
2.1132905,1.704081
2.064571,1.62467
2.8738031,2.0757437
2.6284513,1.9083724
2.6737607,2.1750526
2.5839217,1.9247808
2.1341426,1.7327164
2.1170907,1.6577423
2.8092985,2.2060819
2.2450283,1.9061834
2.4750822,1.8115513
2.6342003,1.903308
2.595517,1.9907014
2.3255131,1.8703556
2.738655,1.9700674
2.1295629,1.625289
2.887737,2.0725358
2.0186772,1.688031
2.6791198,2.201023
2.3446112,1.7072533
2.7300804,2.2755759
2.2004986,1.7618084
2.7521992,1.9631518
2.5492334,2.1658568
2.2403512,1.9542599
2.6673295,2.0232127
2.8274221,2.3509898
2.906153,2.177876
2.8823779,2.0830665
2.037288,1.726892
2.9183328,2.1375632
2.1257627,1.6360333
2.2854655,1.9218953
2.6840892,2.1448069
2.924569,2.2581825
2.8297606,2.3527408
2.3848536,1.7748563
2.3129435,1.7874765
2.2262225,1.7337083
2.9233022,2.2505827
2.3076818,1.9987478
2.55469,2.2182336
2.8079343,1.9074785
2.4855082,1.906889
2.7924414,2.0407262
2.0824025,1.5877568
2.4043412,2.0762491
2.1274192,1.7592646
2.2744548,1.8126324
2.766815,1.9815798
2.5153246,2.1769178
2.4787848,1.8207434
2.7871797,2.2308238
2.6727862,1.9731934
2.081233,1.6761173
2.1276143,1.7737634
2.545823,1.9266322
2.2794244,1.7552736
2.8838394,2.3551831
2.2803988,1.7680285
2.5328636,2.1267571
1.9867171,1.7098215
2.5747623,2.052117
2.3173282,1.9406235
2.947857,2.4095058
2.0311494,1.5722389
2.4660203,1.8924327
2.8119292,1.9877824
2.2635417,1.7582859
2.852464,2.1069007
2.8365815,2.1743488
2.8352172,2.3042994
2.6199741,2.0292675
2.6608012,1.9513203
2.6187074,2.260086
2.1573331,1.642269
2.5035343,1.7432905
2.3610783,1.7053442
2.0451806,1.6296644
2.6614833,2.145382
2.0528784,1.6397601
2.0664225,1.7757103
2.3107998,1.8504945
2.7839642,2.123776
2.44663,1.8371269
2.054145,1.6623547
2.3830996,1.8354139
1.9974355,1.634702
2.0391395,1.7350698
2.8878343,2.0729713
2.9472723,2.4937706
2.4357166,1.8806589
2.6191947,2.1361947
2.725111,1.9467852
2.2203763,1.7042298
2.8450587,2.3571692
2.4682615,1.8653274
2.341883,1.8705859
2.5070422,1.9445076
2.9248612,2.3821523
2.5377355,1.8403449
2.701823,2.052886
2.0637915,1.6255832
2.8016982,1.9206047
2.5275044,2.0843124
2.5371509,2.1159425
2.377448,1.7104163
2.1074443,1.560988
2.1661026,1.7991321
2.3473394,1.7365166
2.8434021,2.1299956
2.4982727,1.8976645
2.7238443,1.9597671
2.385146,2.0447834
2.77461,2.0881138
2.9219382,1.9645975
2.9197946,2.077345
2.6912022,2.3277693
2.9406464,2.3254733
2.0174105,1.5960302
2.0788946,1.6883037
2.755025,2.1434064
2.7997494,1.993046
2.253603,1.745111
2.117383,1.7420857
2.4564712,1.9708955
2.8379455,2.0643377
2.3099227,1.8212786
2.032611,1.6237087
2.2362587,1.6374943
2.3493857,1.7710874
1.9955841,1.5246098
2.3113844,1.6949966
2.1627896,1.5302979
2.202545,1.6507692
2.098772,1.618882
2.6617756,2.1144123
2.0330007,1.6094818
2.522925,1.8510962
2.4636817,1.8975562
2.357278,2.0340645
2.1017928,1.8477366
2.4826825,2.1520572
2.3156717,1.6910179
2.3197641,1.9089856
2.903035,2.133704
2.6435544,1.9769955
2.5479667,2.0709376
2.826058,2.4342215
2.6774633,1.9366615
2.8174834,2.1349144
2.1296604,1.698036
2.9539957,2.132372
2.61062,2.0930977
2.5750546,1.9338465
2.33818,1.9412723
2.5785625,1.856766
2.2162838,1.7278006
2.2049809,1.5825803
2.2038116,1.6528271
2.4028797,1.9194415
2.257793,1.9708112
2.5676494,2.1210904
2.5166886,2.1303463
2.5563464,1.906863
2.5086012,2.0936615
2.4758618,1.8956463
2.027057,1.6567733
2.5340328,2.0546353
2.3787148,1.8419812
2.128686,1.8087595
2.0281289,1.6088947
2.3226874,1.8638679
2.215894,1.6852748
2.4147673,2.0549865
2.8560693,2.1903057
2.3499703,1.826945
2.7847438,1.9978064
2.8360941,2.4105673
2.8382378,2.3684409
2.0081537,1.6581509
2.412916,1.8282284
1.9807733,1.5826377
2.4442914,1.9492867
2.4025874,1.8113022
2.6934433,2.0242178
2.8310273,2.2352204
2.9265177,2.001347
2.3762789,1.9397377
2.7936108,2.105485
2.3965461,2.0539172
2.9215484,2.0331762
2.6061378,2.2232447
2.4892108,2.023231
2.0774329,1.8371772
2.272019,1.7907065
2.2010832,1.8284267
2.8288836,1.9464674
2.7698357,2.1418507
2.138917,1.8158493
2.731347,2.206048
2.793221,2.1594188
2.1336553,1.7142973
2.933436,2.3843508
2.8073497,2.075951
2.5944452,1.8820283
2.5318892,2.0204177
2.892414,2.0136592
2.1939702,1.6605628
2.6427748,2.152784
2.7522964,1.9493502
2.5285761,2.067414
2.4211984,1.9845551
2.7751946,2.0018628
2.3714068,1.8080817
2.0602837,1.8323643
2.1439838,1.7539105
2.335257,1.8047328
2.1164086,1.5864017
2.2757215,1.9534631
2.7411885,1.8849398
2.87088,1.9670724
2.2481463,1.8648272
2.51474,1.8348379
2.424901,1.6859863
2.248536,1.6267452
2.0411856,1.8139167
2.0200412,1.5761845
2.2392795,1.874482
2.1656153,1.7637528
2.121378,1.7685935
2.4140851,1.7646894
2.4763489,2.0195203
2.7870824,2.0769851
2.1649334,1.7026916
2.6030197,1.8174045
2.5865526,1.9508036
2.7500556,2.1215382
2.893291,2.2522733
2.1532407,1.788683
2.0482986,1.6390275
2.1281013,1.8054247
2.8825727,2.2247844
2.0793817,1.5550711
2.0671043,1.7373104
2.37852,1.9157152
2.5038266,2.1656766
2.4560816,1.8982269
2.7887387,2.1959095
2.2989123,1.7811729
2.4547174,1.9064465
2.5521564,2.028039
2.4452658,1.8670775
2.5999992,2.2400355
2.4880416,1.954086
2.6604114,2.2300038
2.9313898,2.3645115
2.5119143,1.7816366
2.120696,1.68086
2.8950448,2.009183
2.0498576,1.5985856
2.2889733,1.8318282
2.8452535,2.1971684
2.1456404,1.5188863
2.4701128,1.7363106
2.3724787,1.9648199
2.604384,2.1385555
2.1529484,1.6297219
2.6522264,1.9388494
2.9533136,2.2371678
2.947662,2.1692417
2.7056231,2.2000122
2.4462402,1.7247446
2.1435943,1.7197242
2.590645,1.8668691
2.581096,1.9726748
2.3404212,1.7348814
2.191242,1.7682233
2.0582376,1.5168536
2.8833523,2.2301478
2.8760443,1.9594072
2.2728958,1.7777779
2.8756545,2.1371922
1.9937327,1.6311399
2.1052032,1.8391315
2.6569035,2.201956
2.558685,1.9946367
2.9458108,1.9680359
2.884619,2.2756147
2.753466,2.0639749
2.6637244,2.1483529
2.7536607,1.9499332
2.6650884,1.9252481
2.3979104,1.966622
2.2413256,1.6682305
2.0511243,1.5388392
2.257208,1.8633491
2.339252,1.7775686
2.5127912,1.7854059
2.740604,2.0085073
2.3325286,1.8954221
2.1451533,1.8694391
2.1963089,1.7035995
2.912584,2.114983
2.8970912,2.280729
2.1500251,1.6321478
2.348996,1.8756747
2.0941925,1.7356229
2.5728135,2.117939
2.9279792,2.1458743
2.3855355,1.9230509
2.8734133,2.4341161
2.9040093,2.004643
2.2234943,1.8352783
2.2270994,1.5975276
2.4492607,1.882402
2.5262377,1.9000088
2.6918843,2.1275043
2.6583652,2.2926474
2.8115396,2.0740461
2.0893207,1.5549567
2.364586,1.9650127
2.9508774,2.50742
2.8601618,2.3499613
2.2837117,1.9606936
2.1579177,1.6816432
2.3260977,1.8688941
2.5298429,1.9228182
2.0564835,1.645193
2.473913,1.7894056
2.7985802,2.220097
2.2369409,1.6618719
2.7767537,2.3413043
2.5000265,1.9099461
1.9870094,1.7013822
2.7137105,2.2108626
2.0527809,1.6841227
2.270655,1.7064697
2.4906723,1.8871311
2.1694155,1.7592227
2.1631794,1.879283
2.084936,1.6896784
2.3605912,1.9727995
2.068371,1.6350675
2.520294,1.9261404
2.8062778,2.2722425
2.1949446,1.8421472
2.9154096,2.1128163
2.9025476,2.485099
2.7323215,2.1711545
2.4523787,1.7726228
2.6271846,1.9153247
2.8479817,2.4309576
2.8863728,2.1757114
2.3542576,1.832981
2.4254856,1.9768777
2.3805661,1.7617866
2.6042864,1.8282442
2.6233845,2.1528292
2.8692236,2.0424411
2.5500128,2.2032146
2.0804536,1.6753227
2.404244,1.9068413
2.9477594,2.3771837
2.4999292,1.7939391
1.9849632,1.5769131
2.5968812,2.2075014
2.824499,2.2639797
2.7914672,1.9878516
2.023062,1.5440679
2.167954,1.6297286
2.4072645,1.7625244
2.1927035,1.7519302
2.8617208,2.1763775
2.5395868,2.1790953
2.3341851,1.9280812
2.224079,1.8249061
2.8915372,2.393868
2.8755572,1.9079418
2.2015705,1.798522
2.8498333,2.1182027
2.262957,1.7455537
2.707085,2.1110032
2.8171911,2.0706515
2.8517818,2.0922184
2.6266,1.7854398
2.4121366,1.7998731
2.7980928,1.9275101
2.4803438,1.8749347
2.7524915,2.146483
2.620364,2.2152896
2.604871,1.7719309
2.2095604,1.6563058
2.3490934,1.8545125
2.660314,2.126077
2.356109,2.0245662
2.6803865,2.1332083
2.3080714,1.7531993
2.6371236,1.9258895
2.0010407,1.646606
2.2226174,1.7216948
2.8548026,2.0063393
2.081428,1.8485491
2.5841165,2.129363
2.8203092,2.1191344
2.4842415,1.9017845
2.0907822,1.7214025
2.4446812,1.9863262
2.00182,1.7690566
2.3264875,1.8257169
1.9943174,1.578984
2.5295506,2.0575352
2.1126084,1.6124265
2.4128184,1.9760983
2.2927735,1.8078094
2.8214784,2.1462727
2.2561364,1.6579332
2.612179,2.0905704
2.160841,1.8127868
2.155774,1.882272
2.1922164,1.9297463
2.4199317,1.7333858
2.7504451,2.2035897
2.8858857,2.0682302
2.6552472,2.2473974
2.0516117,1.530602
2.2116067,1.787072
2.3456829,1.9469349
2.0594068,1.8155298
2.2522388,1.70243
2.4416606,1.8757256
2.79059,2.2255466
2.229438,1.9158181
2.0171182,1.5742769
2.3600066,1.7641675
2.6013632,1.8881651
2.8140728,2.1413245
2.9446414,2.200769
2.0797715,1.5843214
2.4017105,1.9018345
2.0314417,1.7403286
2.440881,1.8789573
2.6932485,2.0002055
2.931877,2.3345037
2.4299679,1.9744598
2.1331682,1.7401584
2.219889,1.8751996
2.0347545,1.6510599
2.7167313,2.102424
2.9348001,2.2377942
2.830053,2.176869
2.4677742,1.8980461
1.9911994,1.545176
2.3060253,1.6692486
2.2637367,1.7757056
2.8095908,2.1625884
2.8488588,1.9399526
2.4664102,1.890851
2.7938056,2.2550426
2.8933885,1.9624212
2.8059855,1.9268178
2.050345,1.5297308
2.1897802,1.5961059
2.6000967,1.7767959
2.8181653,2.240706
2.7177057,2.0521002
2.6145177,2.137295
2.2006936,1.732647
2.3042712,1.8422096
2.9320717,2.1452684
2.524484,1.8499224
2.025985,1.5951577
2.176626,1.8024256
2.6480367,1.955601
2.4524763,2.1370845
2.3191795,1.6632686
2.2406435,1.9410384
2.831807,2.407562
2.32639,1.7738732
2.9201841,2.147493
2.7384603,1.9321709
2.3193743,1.888053
2.139989,1.6668744
2.1023774,1.7184868
2.806765,2.2165966
2.180816,1.8847879
2.422465,2.0255375
2.8590899,2.1263342
2.9321692,2.072322
1.9816504,1.5991392
2.5539105,1.949419
2.0585299,1.6478299
2.4706,2.0002882
2.7485938,2.0014737
2.8501256,2.1371129
2.3012507,1.7289243
2.684284,1.900678
2.6329336,1.8721355
2.8089087,2.223885
2.6878893,2.046836
2.8977733,2.1004052
2.7281315,2.1340528
2.777241,1.9316146
2.4213932,1.7165976
1.9983124,1.7416253
2.5337405,1.806472
2.018385,1.6516564
2.880916,2.2543325
2.0747046,1.7462809
2.4097004,1.7304294
2.8903677,2.3171449
2.9028401,2.1628323
2.0625248,1.7150083
2.3888485,1.9194618
2.0910745,1.5830595
2.1450558,1.6059976
2.637903,2.2308755
2.2363563,1.7051253
2.6885715,2.0314236
1.9888608,1.5702702
2.9312923,2.328884
2.6535907,2.0081868
2.8522692,2.1184456
2.648329,1.9999185
2.4805388,1.7961769
2.5845063,2.150993
2.6906176,2.0230684
2.4287012,1.7725332
2.2128735,1.7736828
2.7234545,2.1782987
2.1079314,1.7527353
2.9140456,2.264546
2.9114146,2.3268356
2.4791746,1.9144433
2.3627348,1.9590701
2.1543124,1.8622406
2.2818604,1.6338954
2.6917868,2.1468506
2.017995,1.5603937
2.7971187,2.093917
2.1363838,1.6318325
2.4477017,1.965663
2.838725,2.3412626
2.3770583,1.8331738
2.677853,2.1796172
2.6319592,2.0923038
2.6749299,1.9216394
2.1969907,1.823493
2.597271,1.9324946
2.7142954,2.287219
2.9282718,2.3821995
2.5118167,1.8900051
2.1176753,1.6554381
2.065253,1.6274213
2.148466,1.7082119
2.143302,1.8835987
2.2353818,1.7318501
1.9950969,1.5686753
2.7894208,2.2198582
2.40629,1.9636935
2.9259331,2.0171192
2.945226,2.1756954
2.0600889,1.6354421
2.842038,2.4353933
2.2898502,1.8419244
2.591522,2.207864
2.6570985,2.1233125
1.9875941,1.6779714
2.6666474,2.232686
2.221448,1.7755322
2.3358417,1.8448846
2.6903253,2.1156545
2.7186801,2.1210985
2.4627073,1.8278244
2.953216,2.116177
2.41048,1.7662001
2.6836019,1.895338
2.9200869,2.2099552
2.6695707,2.0630093
2.308169,1.8673127
2.7192647,2.1856923
2.7922466,2.092836
2.0591145,1.6090791
2.3284361,1.8256199
2.7222853,2.0355463
2.8647413,2.0004215
2.4029772,1.8903377
2.6007786,2.0853534
2.50636,1.91997
2.7681792,2.0745306
2.7006538,2.311749
2.8303454,2.006647
2.3507497,1.7997627
2.5175657,1.8839631
2.5130835,1.9939591
2.439322,1.761812
2.908589,2.13947
2.917943,2.5034406
2.8890038,2.2379556
2.7970212,2.0577416
2.86289,2.2296438
2.8722441,2.164168
2.5226324,1.999989
1.9920763,1.719962
2.5687213,1.9951121
2.8249862,2.3804662
2.9153123,2.1295004
2.4738154,2.1514473
2.8331711,1.9837134
2.8581154,2.3226225
2.813878,1.9127009
2.750835,1.8125248
2.9361641,2.1478872
2.4993446,1.8141043
2.7833796,1.8938781
2.46261,1.7977164
2.055509,1.5077195
2.005328,1.5757012
2.6021428,1.8221668
2.4208086,1.9710503
2.8968964,1.9970957
2.8874447,2.3747187
2.5953221,1.8243494
2.6639192,2.2802067
2.4282138,1.9856545
2.1357017,1.6997833
2.749958,1.9901658
2.9115121,2.1876173
2.3821251,1.8233603
2.094777,1.7255119
2.211899,1.7611291
2.8483715,1.9311492
2.5771985,1.9089785
2.4310396,1.8120769
2.05434,1.5768586
2.7910774,2.0080948
2.431137,1.9908202
2.4256804,1.7297964
2.6812634,2.054184
2.7769487,2.0768824
2.3324313,1.9115216
2.7757795,2.2272663
2.7104952,2.0328808
2.1113417,1.7506092
2.932559,2.1657295
2.146907,1.6154126
2.3753045,1.7122415
2.6318617,2.2574162
2.5872347,1.841794
2.0944848,1.5752093
2.5985374,1.8903698
2.1989396,1.7324679
2.0005536,1.5300184
2.1261525,1.867295
2.0817204,1.7241478
2.4984674,1.88601
2.7119567,1.8789911
2.029298,1.684644
2.1704874,1.6638974
2.0291033,1.6523306
2.2568185,1.8139334
2.1666873,1.7893308
2.1848109,1.857395
2.4148648,1.9276352
2.1832519,1.7965298
2.500124,1.8707616
2.6105225,1.8970903
2.4570558,1.8912573
2.8063753,2.2293773
2.7578506,2.155633
2.6532984,2.1463492
2.0385547,1.5734562
2.409798,1.7974622
2.4051208,1.9851582
2.186175,1.7168523
2.843792,2.0304294
2.7278392,2.1741805
1.982917,1.6520753
2.5745676,1.8737164
2.7760718,1.8901433
2.3011532,1.9787823
2.011077,1.6445651
1.9771681,1.7256652
2.192606,1.8922617
2.2623725,1.7899982
2.0455704,1.6691699
2.4781027,1.8237569
2.4581277,2.0941548
2.881306,2.4249535
2.8056931,2.3913627
2.9223278,2.0626736
2.9370413,2.1594267
2.1770158,1.7106879
2.8629875,2.0542595
2.5980504,2.162691
2.25029,1.8316082
2.2184274,1.719573
2.3788123,1.9447386
2.5203915,1.9491541
2.0544374,1.6717573
2.6733708,2.0370948
2.7511272,2.1866565
2.922133,2.2800846
2.519222,2.0978498
2.1266398,1.7839365
2.834925,1.9615382
2.5901577,2.1962152
2.3550372,1.7863064
2.7312496,2.0540428
2.747717,2.0492113
2.071489,1.5742357
2.1662974,1.8198795
2.8433046,2.0848901
2.123132,1.8153201
2.2036166,1.7293067
2.5219505,2.005063
2.878383,2.1619036
2.828299,2.3457208
2.2233968,1.7063323
2.795267,2.088073
2.2255404,1.6910079
2.4394195,2.1254692
2.7846463,2.078663
2.7783127,1.9075054
2.8965065,2.0892334
2.3678992,1.8726352
2.5698905,2.0038862
2.0651557,1.7964677
2.1944573,1.7245455
2.5764189,1.9054388
2.4228547,1.97173
2.2553568,1.6233339
1.9808707,1.5696396
2.7493734,2.2669513
2.6717143,1.8938619
2.4979804,2.0842252
2.5128884,2.0041392
2.3462677,1.7450657
2.2114117,1.767391
2.2950146,1.7833233
2.8166063,1.9293406
2.097213,1.7723517
2.7961442,2.1829388
2.039724,1.6491412
2.4514043,1.8214371
2.5572233,2.0619526
2.3078766,1.7952173
2.144861,1.8599429
2.2052732,1.6399213
2.0931206,1.6247873
2.7040641,2.038188
2.685843,2.2086647
2.6164663,2.0580463
2.6909099,2.073836
2.4597843,1.9757764
2.090977,1.6530626
2.4397118,1.9624627
2.5849936,1.9158041
2.3881664,2.0739782
2.1327784,1.7076437
2.114265,1.7002652
1.9788246,1.6916151
2.818555,2.2594004
2.1755543,1.624867
2.2970607,1.7774765
1.9897377,1.563255
2.5843115,2.1981502
2.3409085,1.8178172
2.310897,1.6944566
2.9164815,2.2000182
2.2104375,1.8433362
2.7007513,2.1764436
2.0755816,1.5895407
2.4401014,1.7888687
2.6283538,2.0546389
2.1774056,1.5796573
2.3636117,1.7469493
2.3246362,1.8706009
2.4277267,1.8229729
2.8137805,2.1215236
2.288681,1.64524
2.0768483,1.5573545
2.2802038,1.9681578
2.6060405,2.0227616
2.1283937,1.8814965
2.5730085,1.7957785
2.5806088,1.9877998
2.0973105,1.7763944
2.2998865,1.7176161
2.1875393,1.5975366
2.032806,1.5601606
2.4502351,1.7103231
2.818945,2.0812309
2.488821,1.9437588
2.1371632,1.7194122
2.9156046,2.24645
2.4578354,2.0648303
2.477908,2.1037316
2.06613,1.6541772
